title,display_name,short
aerial views,aerial views,aerial%20views
air quality,air quality,air%20quality
architectural,architectural,architectural
DSCP remediation,DSCP remediation,DSCP%20remediation
energy policy,energy policy,energy%20policy
HRP redevelopment,HRP redevelopment,HRP%20redevelopment
low-angle views,low-angle views,low-angle%20views
maps,maps,maps
news photography,news photography,news%20photography
newspaper headlines,newspaper headlines,newspaper%20headlines
PGW,PGW,PGW
Penn sustainability,Penn sustainability,Penn%20sustainability
Pew reports,Pew reports,Pew%20reports
portraits,portraits,portraits
public health,public health,public%20health
refinery history and policy,refinery history and policy,refinery%20history%20and%20policy
refinery remediation,refinery remediation,refinery%20remediation
regional planning,regional planning,regional%20planning
Standard Oil,Standard Oil,Standard%20Oil
student projects,student projects,student%20projects
urban planning,urban planning,urban%20planning
urban sustainability,urban sustainability,urban%20sustainability
water quality,water quality,water%20quality
